URL,Phone Number,Email,School Name
https://scholenopdekaart.nl/middelbare-scholen/borger/2761/esdal-college-locatie-borger/,088-0009650,borger@esdalcollege.nl,Esdal College Locatie Borger
https://scholenopdekaart.nl/middelbare-scholen/kapelle/2737/pvo-kapelle-isaac-beeckman/,0113340150,IsaacBeeckman@persoonlijkvo.nl,Pvo Kapelle Isaac Beeckman
https://scholenopdekaart.nl/middelbare-scholen/kapelle/12289/school-voor-voortgezet-speciaal-onderwijs-eben-haezer/,0113330087,info@specialescholenkapelle.nl,School voor (Voortgezet) Speciaal Onderwijs Eben-Haezer
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/498/murmellius-gymnasium/,0725272072,info@Murmellius.nl,Murmellius Gymnasium
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/3087/csg-jan-arentsz-voor-vmbo-havo-vwo/,072-5187676,info@ja.nl,"CSG Jan Arentsz voor vmbo, havo, vwo"
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/3088/csg-jan-arentsz-vestiging-van-der-meij-college/,0725675570,info@vandermeijcollege.nl,"CSG Jan Arentsz, vestiging Van der Meij College"
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/3029/pcc-fabritius/,072 5181818,info@pcc.nu,PCC Fabritius
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/481/osg-willem-blaeu/,0725122477,rector@willemblaeu.nl,OSG Willem Blaeu
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/3028/pcc-het-lyceum/,072 5353540,info@pcc.nu,PCC Het Lyceum
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/3030/pcc-oosterhout/,0725410333,info@pcc.nu,PCC Oosterhout
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/494/stedelijk-dalton-college-alkmaar-vestiiging-van-der-meij-college/,0725675570,info@vandermeijcollege.nl,"Stedelijk Dalton College Alkmaar, vestiiging Van der Meij College"
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/491/de-viaan-praktijkonderwijs/,072-5115213,info@de-viaan.nl.nl,De Viaan (praktijkonderwijs)
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/493/stedelijk-dalton-college-alkmaar/,0725625000,info@daltonalkmaar.nl,Stedelijk Dalton College Alkmaar
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/24199/heliomare-college-alkmaar/,0889209060,hc-alkmaar@heliomare.nl,Heliomare College Alkmaar
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/482/osg-willem-blaeu-vestiging-van-der-meij-college/,0725675570,info@vandermeijcollege.nl,"osg Willem Blaeu, vestiging Van der Meij College"
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/1343/vonk-alkmaar-voorheen-clusius-college/,0725610934,alkmaar@vonknh.nl,Vonk Alkmaar (voorheen Clusius College)
https://scholenopdekaart.nl/middelbare-scholen/alkmaar/11343/de-spinaker-vso-alkmaar/,072-5140244,spinaker.vsoalkmaar@ronduitonderwijs.nl,"De Spinaker, VSO Alkmaar"
