URL,Phone Number,Email,School Name
https://scholenopdekaart.nl/middelbare-scholen/hoogezand/25745/dr-aletta-jacobs-college-deelschool-vmbo-bovenbouw/,0598350250,ajacobscollege@aletta.nl,dr Aletta Jacobs College deelschool VMBO bovenbouw
https://scholenopdekaart.nl/middelbare-scholen/hoogezand/2834/dr-aletta-jacobs-college-deelschool-praktijkonderwijs/,0598361461,ajacobscollege@aletta.nl,dr Aletta Jacobs College - deelschool Praktijkonderwijs
https://scholenopdekaart.nl/middelbare-scholen/hoogezand/2832/dr-aletta-jacobs-college/,0598350250,ajacobscollege@aletta.nl,dr. Aletta Jacobs College
https://scholenopdekaart.nl/middelbare-scholen/winschoten/26546/dollard-college-hommesplein/,(0597) 670200,hommesplein@dollardcollege.nl,Dollard College Hommesplein
https://scholenopdekaart.nl/middelbare-scholen/winschoten/26551/dollard-college-bovenburen/,0597 454940,bovenburen@dollardcollege.nl,Dollard College Bovenburen
https://scholenopdekaart.nl/middelbare-scholen/winschoten/26547/dollard-college-campus-winschoten/,0597 67 09 70,campus@dollardcollege.nl,Dollard College Campus Winschoten
https://scholenopdekaart.nl/middelbare-scholen/winschoten/26550/dollard-college-pro-winschoten/,0597553195,prowinschoten@dollardcollege.nl,Dollard College PrO Winschoten
https://scholenopdekaart.nl/middelbare-scholen/winschoten/10713/de-meentschool-openbare-vso-school-voor-zml/,0597208002,meentschool@sooog.nl,"de Meentschool, openbare (V)SO school voor ZML"
https://scholenopdekaart.nl/middelbare-scholen/winschoten/26548/dollard-college-voor-lyc-havo-mavo-vbo-lwoo/,0597553195,prowinschoten@dollardcollege.nl,Dollard College voor Lyc Havo Mavo Vbo Lwoo
https://scholenopdekaart.nl/middelbare-scholen/maartensdijk/1376/aeres-vmbo-maartensdijk/,088 0205500,vmbo.maartensdijk@aeres.nl,Aeres VMBO Maartensdijk
https://scholenopdekaart.nl/middelbare-scholen/julianadorp/22470/junior-college/,0223-540300,secretariaat-juniorcollege@scholenaanzee.nl,Junior College
